"route_id","trip_id","service_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"1","44","1","Wien Hbf","IC 44","0","","44","",""
"2","45","1","Košice","IC 45","0","","45","",""
"458","114","114","Budapest-Nyugati pu","IC 114 Cracovia /131","1","","114","",""
"4","120","1","Praha-Vršovice","EC 120 Valašský expres","0","","120","",""
"4","121","1","Púchov","EC 121 Valašský expres","1","","121","",""
"5","122","1","Praha-Vršovice","EC 122 Valašský expres","1","","122","",""
"4","123","1","Púchov","EC 123 Valašský expres","1","","123","",""
"5","124","1","Praha-Vršovice","EC 124 Valašský expres","1","","124","",""
"4","125","1","Púchov","EC 125 Valašský expres","1","","125","",""
"5","126","1","Praha-Vršovice","EC 126 Valašský expres","1","","126","",""
"7","127","1","Púchov","EC 127 Valašský expres","0","","127","",""
"5","128","1","Praha-Vršovice","EC 128 Valašský expres","1","","128","",""
"4","129","1","Púchov","EC 129 Valašský expres","1","","129","",""
"9","130","1","Warszawa Wschodnia","EC 130 Bathory","1","","130","",""
"8","131","1","Budapest-Nyugati pu","IC 131 Bathory","1","","131","",""
"10","140","1","Praha-Vršovice","EC 140 Ostravan","0","","140","",""
"12","141","1","Žilina","EC 141 Ostravan","1","","141","",""
"11","142","1","Praha hl.n.","EC 142 Ostravan","1","","142","",""
"12","143","1","Žilina","EC 143 Ostravan","1","","143","",""
"14","144","74068","Praha-Vršovice","EC 144 Ostravan","1","","144","",""
"10","145","74069","Žilina","EC 145 Ostravan","1","","145","",""
"16","160","1","Zürich HB","RJX 160 railjet xpress","1","","160","",""
"15","167","1","Bratislava hl.st.","RJX 167 railjet xpress","1","","167","",""
"18","172","1","Hamburg-Altona","EC 172 Hungaria","1","","172","",""
"17","173","1","Budapest-Nyugati pu","EC 173 Hungaria","1","","173","",""
"20","182","1","Košice","IC 182 HORNÁD","1","","182","",""
"20","184","1","Košice","IC 184 HORNÁD","1","","184","",""
"20","186","1","Košice","IC 186 HORNÁD","1","","186","",""
"19","187","1","Budapest-Keleti pu","EC 187 HORNÁD","1","","187","",""
"20","188","1","Košice","IC 188 HORNÁD","1","","188","",""
"20","189","1","Budapest-Keleti pu","EC 189 HORNÁD","0","","189","",""
"20","190","1","Košice","IC 190 HORNÁD","1","","190","",""
"19","191","1","Budapest-Keleti pu","EC 191 HORNÁD","1","","191","",""
"20","192","1","Košice","IC 192 HORNÁD","1","","192","",""
"19","193","1","Budapest-Keleti pu","EC 193 HORNÁD","1","","193","",""
"20","194","1","Košice","IC 194 HORNÁD","1","","194","",""
"19","195","1","Budapest-Keleti pu","EC 195 HORNÁD","1","","195","",""
"19","197","1","Budapest-Keleti pu","EC 197 HORNÁD","1","","197","",""
"19","199","1","Budapest-Keleti pu","EC 199 HORNÁD","1","","199","",""
"14","220","1","Praha-Vršovice","EC 220 Valašský expres","1","","220","",""
"10","221","1","Žilina","EC 221 Valašský expres","1","","221","",""
"12","222","1","Praha hl.n.","EC 222 Valašský expres","0","","222","",""
"10","223","1","Žilina","EC 223 Valašský expres","1","","223","",""
"25","240","74108","Praha hl.n.","EC 240 KOŠIČAN","0","","240","",""
"26","241","74108","Košice","EC 241 KOŠIČAN","0","","241","",""
"27","242","75948","Ostrava-Vítkovice","Ex 242","0","","242","",""
