"agency_id","route_id","route_short_name","route_long_name","route_type","route_desc","route_color","route_text_color"
"9020","1","","Košice-Wien Hbf","2","","FF671F","FFFFFF"
"9020","2","","Wien Hbf-Košice","2","","FF671F","FFFFFF"
"9020","3","","Przemysl Gl.-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","4","","Púchov-Praha-Vršovice","2","","FF671F","FFFFFF"
"9020","5","","Praha-Vršovice-Púchov","2","","FF671F","FFFFFF"
"9020","7","","Praha hl.n.-Púchov","2","","FF671F","FFFFFF"
"9020","8","","Budapest-Nyugati pu-Terespol","2","","FF671F","FFFFFF"
"9020","9","","Terespol-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","10","","Žilina-Praha-Vršovice","2","","FF671F","FFFFFF"
"9020","11","","Praha hl.n.-Žilina","2","","FF671F","FFFFFF"
"9020","12","","Žilina-Praha hl.n.","2","","FF671F","FFFFFF"
"9020","13","","Praha-Vršovice-Žilina","2","","FF671F","FFFFFF"
"9020","14","","Bratislava hl.st.-Zürich HB","2","","FF671F","FFFFFF"
"9020","15","","Zürich HB-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","16","","Budapest-Nyugati pu-Hamburg-Altona","2","","FF671F","FFFFFF"
"9020","17","","Hamburg-Altona-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","18","","Budapest-Keleti pu-Košice","2","","FF671F","FFFFFF"
"9020","19","","Košice-Budapest-Keleti pu","2","","FF671F","FFFFFF"
"9020","24","","Košice-Praha hl.n.","2","","FF671F","FFFFFF"
"9020","25","","Praha hl.n.-Košice","2","","FF671F","FFFFFF"
"9020","28","","Budapest-Nyugati pu-Praha hl.n.","2","","FF671F","FFFFFF"
"9020","29","","Brno hl.n.-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","31","","Praha hl.n.-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","33","","Nové Zámky-Praha hl.n.","2","","FF671F","FFFFFF"
"9020","34","","Praha hl.n.-Nové Zámky","2","","FF671F","FFFFFF"
"9020","35","","Žilina-Ostrava-Svinov","2","","FF671F","FFFFFF"
"9020","36","","Ostrava-Svinov-Žilina","2","","FF671F","FFFFFF"
"9020","37","","Warszawa Wschodnia-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","38","","Humenné-Praha hl.n.","2","","FF671F","FFFFFF"
"9020","39","","Praha hl.n.-Humenné","2","","FF671F","FFFFFF"
"9020","40","","Berlin-Charlottenburg-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","41","","Budapest-Nyugati pu-Břeclav","2","","FF671F","FFFFFF"
"9020","42","","Břeclav-Budapest-Nyugati pu","2","","FF671F","FFFFFF"
"9020","43","","Košice-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","44","","Bratislava hl.st.-Košice","2","","FF671F","FFFFFF"
"9020","49","","Humenné-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","50","","Bratislava hl.st.-Humenné","2","","FF671F","FFFFFF"
"9020","51","","Bratislava hl.st.-Poprad-Tatry","2","","FF671F","FFFFFF"
"9020","52","","Martin-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","53","","Bratislava hl.st.-Vrútky","2","","FF671F","FFFFFF"
"9020","54","","Poprad-Tatry-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","56","","Púchov-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","57","","Bratislava hl.st.-Žilina","2","","FF671F","FFFFFF"
"9020","58","","Žilina-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","59","","Bratislava hl.st.-Púchov","2","","FF671F","FFFFFF"
"9020","60","","Žilina-Trenčín","2","","FF671F","FFFFFF"
"9020","61","","Bratislava hl.st.-Trenčín","2","","FF671F","FFFFFF"
"9020","62","","Trnava-Bratislava hl.st.","2","","FF671F","FFFFFF"
"9020","63","","Bratislava hl.st.-Trnava","2","","FF671F","FFFFFF"
