"trip_id","stop_id","arrival_time","departure_time","stop_sequence","pickup_type","drop_off_type","shape_dist_traveled"
"44","136002","7:02:00","7:02:00","1","","",""
"44","135608","7:14:30","7:15:30","5","","",""
"44","132506","8:09:30","8:10:30","32","","",""
"44","179150","9:55:30","9:57:30","72","","",""
"44","132068","11:33:00","11:56:00","144","","",""
"44","146167","12:03:30","12:16:00","145","","",""
"44","145763","12:29:00","12:32:00","147","","",""
"44","10033","13:24:00","13:24:00","149","","",""
"45","10033","14:42:00","14:42:00","1","","",""
"45","145763","15:26:00","15:29:00","3","","",""
"45","146167","15:43:00","15:54:00","5","","",""
"45","132068","16:01:00","16:22:00","6","","",""
"45","136069","16:29:30","16:31:30","9","","",""
"45","179150","18:07:30","18:09:30","78","","",""
"45","132506","19:57:00","19:58:00","120","","",""
"45","135608","20:51:30","20:52:30","147","","",""
"45","135806","20:58:30","21:06:00","149","","",""
"45","136002","21:13:30","21:13:30","151","","",""
"114","5100234","7:40:00","7:40:00","1","","",""
"114","5102825","7:43:00","7:44:00","2","","",""
"114","5103068","7:57:00","7:58:00","3","","",""
"114","5100233","8:09:00","8:10:00","4","","",""
"114","5100195","8:20:00","8:21:00","5","","",""
"114","5101932","8:35:00","8:36:00","6","","",""
"114","900080","8:47:00","8:50:00","7","","",""
"114","5103349","9:04:00","9:05:00","8","","",""
"114","5103157","9:11:00","9:12:00","9","","",""
"114","5100228","9:19:00","9:20:00","10","","",""
"114","80630","9:39:00","9:43:00","11","","",""
"114","5100671","9:59:00","10:00:00","12","","",""
"114","5100227","10:07:00","10:08:00","13","","",""
"114","5100240","10:29:00","10:30:00","14","","",""
"114","5100028","10:37:00","10:45:00","15","","",""
"114","73312","11:35:00","11:39:00","16","","",""
"114","73700","11:54:00","11:55:00","17","","",""
"114","900003","12:32:00","12:34:00","18","","",""
"114","900002","12:48:00","12:49:00","19","","",""
"114","900001","13:06:00","13:07:00","20","","",""
"114","341248","13:13:00","13:42:00","21","","",""
"114","343640","13:49:00","13:51:00","22","","",""
"114","344341","13:57:00","13:59:00","23","","",""
"114","337220","14:25:00","14:26:00","24","","",""
"114","346627","14:44:00","14:45:00","25","","",""
"114","355750","15:01:00","15:04:00","26","","",""
"114","361451","15:16:00","15:17:00","27","","",""
"114","338459","15:33:00","15:34:00","28","","",""
"114","334250","15:45:00","15:55:00","29","","",""
"114","130161","16:11:00","16:12:00","30","","",""
"114","132068","17:01:00","17:05:00","31","","",""
"114","134361","18:09:00","18:10:00","32","","",""
"114","135269","18:36:00","18:40:00","33","","",""
"114","105049","18:50:00","18:51:00","34","","",""
"114","10488","19:01:00","19:02:00","35","","",""
"114","104471","19:15:00","19:23:00","36","","",""
"114","100339","19:49:00","19:49:00","37","","",""
"120","177253","18:08:00","18:08:00","1","","",""
"120","336529","18:31:00","18:33:00","11","","",""
"120","354423","18:51:00","18:53:00","12","","",""
"120","351627","19:09:00","19:11:00","13","","",""
"120","337220","19:30:00","19:31:00","14","","",""
"120","900012","19:40:00","19:41:00","15","","",""
"120","343624","20:00:00","20:02:00","16","","",""
"120","900010","20:13:00","20:14:00","17","","",""
"120","900011","20:22:00","20:29:00","18","","",""
"120","355024","20:38:00","20:39:00","19","","",""
"120","539130","21:01:00","21:04:00","20","","",""
"120","538637","21:12:00","21:13:00","21","","",""
"120","900013","21:24:00","21:25:00","22","","",""
"120","536136","21:44:00","21:45:00","23","","",""
"120","900014","21:54:00","21:55:00","24","","",""
"120","534149","22:09:00","22:10:00","25","","",""
"120","571760","22:39:00","22:39:00","26","","",""
"120","570762","22:46:00","22:51:00","27","","",""
"120","572768","22:55:00","22:55:00","28","","",""
"121","572768","5:04:00","5:04:00","1","","",""
"121","570762","5:08:00","5:15:00","2","","",""
"121","571760","5:21:00","5:22:00","3","","",""
"121","534149","5:52:00","5:54:00","4","","",""
"121","536136","6:17:00","6:18:00","5","","",""
"121","539130","6:59:00","7:00:00","6","","",""
"121","355024","7:21:00","7:22:00","7","","",""
"121","900011","7:29:00","7:30:00","8","","",""
"121","900010","7:38:00","7:39:00","9","","",""
"121","343624","7:50:00","7:54:00","10","","",""
"121","900012","8:14:00","8:15:00","11","","",""
"121","337220","8:25:00","8:26:00","12","","",""
"121","351627","8:45:00","8:46:00","13","","",""
"121","354423","9:03:00","9:06:00","14","","",""
"121","336529","9:27:00","9:29:00","15","","",""
"121","177253","9:52:00","9:52:00","25","","",""
"122","177253","16:08:00","16:08:00","1","","",""
"122","336529","16:31:00","16:33:00","11","","",""
"122","354423","16:51:00","16:53:00","12","","",""
"122","351627","17:09:00","17:11:00","13","","",""
"122","337220","17:30:00","17:31:00","14","","",""
"122","900012","17:40:00","17:41:00","15","","",""
"122","343624","18:00:00","18:02:00","16","","",""
"122","900010","18:13:00","18:14:00","17","","",""
"122","900011","18:22:00","18:29:00","18","","",""
"122","355024","18:38:00","18:39:00","19","","",""
"122","539130","19:01:00","19:04:00","20","","",""
