"route_id","trip_id","service_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"1","44","1","Wien Hbf","IC 44","0","","44","",""
"2","45","1","Košice","IC 45","0","","45","",""
"472","114","114","Budapest-Nyugati pu","IC 114 Cracovia /131","1","","114","",""
"4","120","1","Praha-Vršovice","EC 120 Valašský expres","0","","120","",""
"4","121","1","Púchov","EC 121 Valašský expres","1","","121","",""
"5","122","1","Praha-Vršovice","EC 122 Valašský expres","1","","122","",""
"4","123","1","Púchov","EC 123 Valašský expres","1","","123","",""
"5","124","1","Praha-Vršovice","EC 124 Valašský expres","1","","124","",""
"4","125","1","Púchov","EC 125 Valašský expres","1","","125","",""
"5","126","1","Praha-Vršovice","EC 126 Valašský expres","1","","126","",""
"7","127","1","Púchov","EC 127 Valašský expres","0","","127","",""
"5","128","1","Praha-Vršovice","EC 128 Valašský expres","1","","128","",""
"4","129","1","Púchov","EC 129 Valašský expres","1","","129","",""
"9","130","1","Terespol","EC 130 Bathory","1","","130","",""
"8","131","1","Budapest-Nyugati pu","IC 131 Bathory","1","","131","",""
"13","140","75848","Praha-Vršovice","EC 140 Ostravan","1","","140","",""
"12","141","1","Žilina","EC 141 Ostravan","1","","141","",""
"11","142","1","Praha hl.n.","EC 142 Ostravan","1","","142","",""
"10","143","1","Žilina","EC 143 Ostravan","1","","143","",""
"13","144","64809","Praha-Vršovice","EC 144 Ostravan","1","","144","",""
"10","145","64810","Žilina","EC 145 Ostravan","1","","145","",""
"15","160","1","Zürich HB","RJX 160 railjet xpress","1","","160","",""
"14","167","1","Bratislava hl.st.","RJX 167 railjet xpress","1","","167","",""
"17","172","64669","Hamburg-Altona","EC 172 Hungaria","1","","172","",""
"16","173","64669","Budapest-Nyugati pu","EC 173 Hungaria","1","","173","",""
"19","182","1","Košice","IC 182 HORNÁD","1","","182","",""
"19","184","1","Košice","IC 184 HORNÁD","1","","184","",""
"19","186","1","Košice","IC 186 HORNÁD","1","","186","",""
"18","187","1","Budapest-Keleti pu","EC 187 HORNÁD","1","","187","",""
"19","188","1","Košice","IC 188 HORNÁD","1","","188","",""
"19","189","1","Budapest-Keleti pu","EC 189 HORNÁD","0","","189","",""
"19","190","1","Košice","IC 190 HORNÁD","1","","190","",""
"18","191","1","Budapest-Keleti pu","EC 191 HORNÁD","1","","191","",""
"19","192","1","Košice","IC 192 HORNÁD","1","","192","",""
"18","193","1","Budapest-Keleti pu","EC 193 HORNÁD","1","","193","",""
"19","194","1","Košice","IC 194 HORNÁD","1","","194","",""
"18","195","1","Budapest-Keleti pu","EC 195 HORNÁD","1","","195","",""
"18","197","1","Budapest-Keleti pu","EC 197 HORNÁD","1","","197","",""
"18","199","1","Budapest-Keleti pu","EC 199 HORNÁD","1","","199","",""
"13","220","1","Praha-Vršovice","EC 220 Valašský expres","1","","220","",""
"10","221","1","Žilina","EC 221 Valašský expres","1","","221","",""
"12","222","1","Praha hl.n.","EC 222 Valašský expres","0","","222","",""
"10","223","1","Žilina","EC 223 Valašský expres","1","","223","",""
"24","240","66468","Praha hl.n.","SC 240 Pendolino Košičan","0","","240","",""
"25","241","66468","Košice","SC 241 Pendolino Košičan","0","","241","",""
"17","252","64668","Hamburg-Altona","EC 252","1","","252","",""
